	Position	Player	Score	R1	R2	R3	R4	Total	Earnings	FedEx Pts
0	1	Harris English	-8	68	73	66	73	280	$1,674,000	500
1	2	Sam Stevens	-7	69	73	71	68	281	$1,013,700	300
2	3	Andrew Novak	-6	70	72	66	74	282	$641,700	190
3	T4	Kris Ventura	-5	68	73	71	71	283	$418,500	123
4	T4	Sungjae Im	-5	69	71	72	71	283	$418,500	123
5	6	Hayden Springer	-4	65	75	73	71	284	$337,125	100
6	T7	Will Gordon	-3	69	72	75	69	285	$302,250	88
7	T7	Taylor Pendrith	-3	69	75	70	71	285	$302,250	88
8	T9	Lee Hodges	-2	67	76	73	70	286	$225,525	68
9	T9	Danny Willett	-2	70	75	70	71	286	$225,525	68
10	T9	Greyson Sigg	-2	69	73	70	74	286	$225,525	68
11	T9	K.H. Lee	-2	67	76	68	75	286	$225,525	68
12	T9	Joel Dahmen	-2	69	72	70	75	286	$225,525	68
13	T9	Lanto Griffin	-2	66	72	73	75	286	$225,525	68
14	T15	Ryan Gerard	-1	69	74	74	70	287	$132,732	46
15	T15	Kevin Streelman	-1	72	73	71	71	287	$132,732	46
16	T15	J.J. Spaun	-1	73	72	71	71	287	$132,732	46
17	T15	Sami Välimäki	-1	68	75	73	71	287	$132,732	46
18	T15	Beau Hossler	-1	70	73	72	72	287	$132,732	46
19	T15	Keegan Bradley	-1	69	75	70	73	287	$132,732	46
20	T15	Luke Clanton (a)	-1	70	72	72	73	287	--	0
21	T15	Thomas Detry	-1	71	71	71	74	287	$132,732	46
22	T15	Ricky Castillo	-1	67	75	70	75	287	$132,732	46
23	T15	Aldrich Potgieter	-1	66	76	67	78	287	$132,732	46
24	T25	Charley Hoffman	E	70	75	71	72	288	$74,068	31
25	T25	Sam Ryder	E	71	74	71	72	288	$74,068	31
26	T25	Adam Schenk	E	69	75	71	73	288	$74,068	31
27	T25	Matteo Manassero	E	70	73	70	75	288	$74,068	31
28	T25	Chris Gotterup	E	71	69	73	75	288	$74,068	31
29	T25	Wesley Bryan	E	68	73	71	76	288	$74,068	31
30	T25	Matti Schmid	E	71	72	68	77	288	$74,068	31
31	T32	Jake Knapp	+1	71	73	71	74	289	$52,080	21
32	T32	Andrew Putnam	+1	67	76	72	74	289	$52,080	21
33	T32	Vince Whaley	+1	73	71	70	75	289	$52,080	21
34	T32	Aaron Baddeley	+1	67	77	70	75	289	$52,080	21
35	T32	Zac Blair	+1	66	78	70	75	289	$52,080	21
36	T32	Jason Day	+1	74	69	70	76	289	$52,080	21
37	T32	Hideki Matsuyama	+1	68	75	70	76	289	$52,080	21
38	T32	Brandt Snedeker	+1	72	72	68	77	289	$52,080	21
39	T40	Vincent Norrman	+2	69	76	73	72	290	$41,385	16
40	T40	Norman Xiong	+2	68	74	75	73	290	$41,385	16
41	T42	Isaiah Salinda	+3	68	75	75	73	291	$33,945	12
42	T42	Garrick Higgo	+3	70	75	72	74	291	$33,945	12
43	T42	Danny Walker	+3	65	74	78	74	291	$33,945	12
44	T42	Chan Kim	+3	68	77	70	76	291	$33,945	12
45	T42	Jhonattan Vegas	+3	70	72	71	78	291	$33,945	12
46	T42	Ludvig Åberg	+3	63	75	74	79	291	$33,945	12
47	T48	Chad Ramey	+4	70	74	75	73	292	$25,482	9
48	T48	Max Greyserman	+4	71	73	74	74	292	$25,482	9
49	T48	Antoine Rozner	+4	67	76	74	75	292	$25,482	9
50	T48	Zach Johnson	+4	66	77	71	78	292	$25,482	9
51	T52	Mac Meissner	+5	69	76	73	75	293	$22,646	7
52	T52	Kevin Tway	+5	70	74	72	77	293	$22,646	7
53	T52	Maverick McNealy	+5	70	73	73	77	293	$22,646	7
54	T52	Sahith Theegala	+5	71	73	69	80	293	$22,646	7
55	T56	John Pak	+6	67	78	74	75	294	$21,390	5
56	T56	Frankie Capan III	+6	73	71	74	76	294	$21,390	5
57	T56	Patrick Rodgers	+6	71	71	76	76	294	$21,390	5
58	T56	Jackson Suber	+6	73	69	75	77	294	$21,390	5
59	T56	Jackson Koivun (a)	+6	68	76	72	78	294	--	0
60	T56	Taylor Moore	+6	74	71	69	80	294	$21,390	5
61	T56	Luke List	+6	69	75	69	81	294	$21,390	5
62	T63	Steven Fisk	+7	69	76	75	75	295	$20,553	4
63	T63	Harry Higgs	+7	73	72	70	80	295	$20,553	4
64	T63	Noah Goodwin	+7	67	75	72	81	295	$20,553	4
65	T66	William Mouw	+8	73	72	75	76	296	$20,088	4
66	T66	Cristobal Del Solar	+8	68	77	74	77	296	$20,088	4
67	T68	Eric Cole	+9	70	71	79	77	297	$19,716	3
68	T68	Mark Hubbard	+9	71	72	75	79	297	$19,716	3
69	70	Chandler Phillips	+14	71	74	78	79	302	$19,437	3
70	-	Patrick Fishburn	CUT	75	71	--	--	146	--	0
71	-	Adam Svensson	CUT	74	72	--	--	146	--	0
72	-	Ben Silverman	CUT	73	73	--	--	146	--	0
73	-	Doug Ghim	CUT	72	74	--	--	146	--	0
74	-	Jesper Svensson	CUT	71	75	--	--	146	--	0
75	-	Quade Cummins	CUT	71	75	--	--	146	--	0
76	-	Rikuya Hoshino	CUT	70	76	--	--	146	--	0
77	-	Michael Thorbjornsen	CUT	69	77	--	--	146	--	0
78	-	Peter Malnati	CUT	69	77	--	--	146	--	0
79	-	Kaito Onishi	CUT	74	73	--	--	147	--	0
80	-	Charlie Reiter	CUT	73	74	--	--	147	--	0
81	-	Shane Lowry	CUT	72	75	--	--	147	--	0
82	-	Joe Highsmith	CUT	72	75	--	--	147	--	0
83	-	Matt McCarty	CUT	72	75	--	--	147	--	0
84	-	Joseph Bramlett	CUT	71	76	--	--	147	--	0
85	-	Jacob Bridgeman	CUT	71	76	--	--	147	--	0
86	-	Victor Perez	CUT	71	76	--	--	147	--	0
87	-	Si Woo Kim	CUT	71	76	--	--	147	--	0
88	-	Stephan Jaeger	CUT	71	76	--	--	147	--	0
89	-	Takumi Kanaya	CUT	71	76	--	--	147	--	0
90	-	Aaron Rai	CUT	69	78	--	--	147	--	0
91	-	Kevin Yu	CUT	69	78	--	--	147	--	0
92	-	Alejandro Tosti	CUT	69	78	--	--	147	--	0
93	-	Anders Albertson	CUT	68	79	--	--	147	--	0
94	-	Erik van Rooyen	CUT	67	80	--	--	147	--	0
95	-	Davis Riley	CUT	75	73	--	--	148	--	0
96	-	Mason Andersen	CUT	73	75	--	--	148	--	0
97	-	Trey Mullinax	CUT	72	76	--	--	148	--	0
98	-	Carl Yuan	CUT	72	76	--	--	148	--	0
99	-	Niklas Nørgaard Møller	CUT	70	78	--	--	148	--	0
100	-	Troy Merritt	CUT	69	79	--	--	148	--	0
101	-	Jeremy Paul	CUT	76	73	--	--	149	--	0
102	-	Brian Campbell	CUT	75	74	--	--	149	--	0
103	-	Taylor Montgomery	CUT	74	75	--	--	149	--	0
104	-	Camilo Villegas	CUT	73	76	--	--	149	--	0
105	-	Alex Smalley	CUT	73	76	--	--	149	--	0
106	-	Dylan Wu	CUT	73	76	--	--	149	--	0
107	-	Will Chandler	CUT	73	76	--	--	149	--	0
108	-	Ben Griffin	CUT	72	77	--	--	149	--	0
109	-	Tony Finau	CUT	72	77	--	--	149	--	0
110	-	Kurt Kitayama	CUT	70	79	--	--	149	--	0
111	-	Justin Rose	CUT	69	80	--	--	149	--	0
112	-	Matt NeSmith	CUT	75	75	--	--	150	--	0
113	-	Francesco Molinari	CUT	72	78	--	--	150	--	0
114	-	Austin Eckroat	CUT	72	78	--	--	150	--	0
115	-	Pierceson Coody	CUT	70	80	--	--	150	--	0
116	-	Rico Hoey	CUT	76	75	--	--	151	--	0
117	-	Scott Gutschewski	CUT	75	76	--	--	151	--	0
118	-	Daniel Berger	CUT	75	76	--	--	151	--	0
119	-	Justin Lower	CUT	75	76	--	--	151	--	0
120	-	Thriston Lawrence	CUT	71	80	--	--	151	--	0
121	-	Nick Hardy	CUT	71	80	--	--	151	--	0
122	-	S.H. Kim	CUT	67	84	--	--	151	--	0
123	-	Chris Korte	CUT	77	75	--	--	152	--	0
124	-	Willie Mack III	CUT	77	75	--	--	152	--	0
125	-	Ryan Palmer	CUT	74	78	--	--	152	--	0
126	-	David Skinns	CUT	73	79	--	--	152	--	0
127	-	Taylor Dickson	CUT	72	80	--	--	152	--	0
128	-	Matthew Riedel	CUT	76	77	--	--	153	--	0
129	-	Henrik Norlander	CUT	75	78	--	--	153	--	0
130	-	Tim Widing	CUT	75	78	--	--	153	--	0
131	-	Rafael Campos	CUT	74	79	--	--	153	--	0
132	-	Matthieu Pavon	CUT	73	80	--	--	153	--	0
133	-	Trevor Cone	CUT	71	82	--	--	153	--	0
134	-	Michael Kim	CUT	77	77	--	--	154	--	0
135	-	Matt Wallace	CUT	77	77	--	--	154	--	0
136	-	Carson Young	CUT	76	78	--	--	154	--	0
137	-	Ryan Hall	CUT	76	78	--	--	154	--	0
138	-	Ryo Hisatsune	CUT	76	78	--	--	154	--	0
139	-	Kevin Velo	CUT	74	80	--	--	154	--	0
140	-	Robert Garrigus	CUT	73	81	--	--	154	--	0
141	-	Thomas Rosenmueller	CUT	77	78	--	--	155	--	0
142	-	Jim Knous	CUT	75	80	--	--	155	--	0
143	-	Martin Laird	CUT	76	81	--	--	157	--	0
144	-	Cavin Mccall	CUT	80	80	--	--	160	--	0
145	-	Max McGreevy	WD	71	--	--	--	71	--	0
146	-	Kevin Roy	WD	73	--	--	--	73	--	0
147	-	Nate Lashley	WD	74	--	--	--	74	--	0
148	-	Max Homa	WD	77	--	--	--	77	--	0
149	-	Paul Peterson	WD	75	--	--	--	75	--	0
150	-	Philip Knowles	WD	74	--	--	--	74	--	0
151	-	David Lipsky	WD	76	--	--	--	76	--	0
152	-	Hayden Buckley	WD	79	--	--	--	79	--	0
153	-	Emiliano Grillo	WD	78	--	--	--	78	--	0
154	-	Braden Thornberry	WD	--	--	--	--	43	--	0
